Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Fragmented World,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4994.350051,5977.751327,7059.422174,8460.753353,9872.112714,11476.57891,13195.97434,15045.81333,17052.71476,18957.26858,20996.39376,23004.59759,25009.61559,27035.60091,29038.08346
GCAM 6.0 NGFS,Fragmented World,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11926.34166,14274.71836,16857.73344,20204.03516,23574.34064,27405.60204,31511.43735,35928.78917,40721.37741,45269.22845,50138.71224,54934.27939,59721.9915,64560.2991,69342.20896
GCAM 6.0 NGFS,Fragmented World,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,0,-380.5420884,-829.6605484,-818.6768335,-1086.917016,-1298.396335,-1437.534276,-1467.314533,-1323.959783,-1425.357966,-1306.408537,-1159.937877,-1021.432329,-731.508157,-396.7070927
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4999.411963,5916.151436,7126.131005,8524.741982,10046.60701,11414.93614,12828.92866,14804.792,16768.31918,18559.48919,20360.1997,22217.4458,24101.00726,26297.53763,28569.86718
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11938.42934,14127.61939,17017.03256,20356.83816,23991.02834,27258.40162,30634.94756,35353.24004,40042.24921,44319.34658,48619.50131,53054.58484,57552.27008,62797.82352,68224.12031
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,12.08767839,-527.6410633,-670.361434,-665.8738324,-670.229318,-1445.596761,-2314.024066,-2042.863665,-2003.087984,-2375.239844,-2825.619467,-3039.632433,-3191.153747,-2493.983739,-1514.79574
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4994.350051,6121.260592,7378.41739,8782.765324,10277.74197,11973.25827,13741.65225,15529.02536,17382.11528,19256.01655,21173.0866,23135.01056,25052.23196,27094.37306,29101.53405
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11926.34166,14617.41484,17619.48649,20972.99046,24542.97244,28591.65209,32814.49349,37082.67981,41507.97609,45982.62711,50560.64906,55245.70159,59823.75773,64700.64542,69493.72736
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,0,-37.84560692,-67.9075046,-49.72152922,-118.2852249,-112.3462938,-134.4781422,-313.423891,-537.3611016,-711.9593078,-884.4717177,-848.5156843,-919.6660963,-591.1618402,-245.1886878
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4882.67781,5720.17344,6851.206145,7981.22271,9294.54813,10818.27473,12418.17062,14128.62332,16225.63252,18070.28525,19944.55306,21895.87716,23893.73499,25983.17414,28134.13009
